date,p_Aggression_mean,p_Anxiety_mean,p_Disappointment_mean,p_Hope_mean,p_Neutral_mean,p_Uncertainty_mean,p_Aggression_wmean,p_Anxiety_wmean,p_Disappointment_wmean,p_Hope_wmean,p_Neutral_wmean,p_Uncertainty_wmean,emotion_entropy,msg_volume
2017-09-15,0.01280885,0.20187178,0.048543364,0.009098722,0.64610827,0.081569,0.013554919750281287,0.20827663648949804,0.051446412743734585,0.009685932232675594,0.648437766983992,0.068598332520421,1.522193,4
2017-09-16,0.021856986,0.89223313,0.009403924,0.011361654,0.034783963,0.030360308,0.021856985986232758,0.89223313331604,0.009403924457728863,0.011361653916537762,0.03478396311402321,0.030360307544469833,0.7256516,1
2017-09-17,0.0064946823,0.017369876,0.04296694,0.010898154,0.8915426,0.030727768,0.006494682282209396,0.01736987568438053,0.04296693950891495,0.010898154228925705,0.8915426135063171,0.030727768316864967,0.7169577,1
2017-09-18,0.00624514,0.012414072,0.03665594,0.006898383,0.8564435,0.08134296,0.006245139986276627,0.012414071708917618,0.03665594011545181,0.006898383144289255,0.8564435243606567,0.08134295791387558,0.83463037,1
2017-09-19,0.024573177,0.26051602,0.11420392,0.09813048,0.44256443,0.060011983,0.024573177099227905,0.2605160176753998,0.11420392245054245,0.0981304794549942,0.4425644278526306,0.060011982917785645,2.0871203,1
2017-09-20,0.028578883,0.5161659,0.035174444,0.027399305,0.307421,0.08526041,0.028368405639341693,0.5143392385409316,0.034540519800111566,0.026699568918160874,0.30894484260632765,0.08710739821563317,1.7770977,4
2017-09-21,0.023716614,0.8866699,0.009172023,0.009317715,0.034890972,0.03623283,0.02371661365032196,0.8866698741912842,0.00917202327400446,0.009317714720964432,0.03489097207784653,0.036232829093933105,0.74916065,1
2017-09-22,0.01230312,0.22648406,0.06909908,0.013257563,0.52744114,0.15141511,0.01228218556716959,0.22555703809460084,0.06867201514663407,0.013302982184721047,0.5287707060504188,0.15141511008594977,1.8115373,5
2017-09-23,0.020837536,0.6344025,0.02779522,0.010446649,0.22244051,0.08407767,0.020837536081671715,0.6344025135040283,0.02779521979391575,0.010446649044752121,0.22244051098823547,0.08407767117023468,1.527997,1
2017-09-25,0.017020049,0.25296488,0.025201622,0.009388269,0.51920027,0.17622493,0.017020048573613167,0.25296488404273987,0.025201622396707535,0.009388268925249577,0.5192002654075623,0.17622493207454681,1.7310381,1
2017-09-26,0.007564919,0.027721938,0.01628643,0.008372689,0.59818476,0.34186924,0.00756491906940937,0.027721937745809555,0.01628643088042736,0.008372688665986061,0.5981847643852234,0.3418692350387573,1.3240588,1
2017-09-29,0.005718653,0.010880022,0.042800494,0.009986504,0.8904979,0.040116478,0.005718653090298176,0.010880022309720516,0.04280049353837967,0.00998650398105383,0.8904979228973389,0.04011647775769234,0.70963645,1
2017-09-30,0.004088864,0.011243298,0.06850167,0.0052103307,0.832367,0.07858879,0.004075129127394217,0.011163284209979921,0.06709878826021247,0.005151447508871981,0.834868203032227,0.07764314366840795,0.9184203,3
2017-10-01,0.007048421,0.011160765,0.05657986,0.010385621,0.8632109,0.051614344,0.006868367579208244,0.010938537159160707,0.05815354462007707,0.010140825500841971,0.8640874850704527,0.04981119745189686,0.8295375,2
2017-10-02,0.011593592,0.21146607,0.031239975,0.010866947,0.6024023,0.13243107,0.011535807576000864,0.21049706772540844,0.031246408894900515,0.011111617114580764,0.6062639619258118,0.12934512074495344,1.6024009,4
2017-10-03,0.033015866,0.2517704,0.03876665,0.046582107,0.5100102,0.11985475,0.03086965496871598,0.23127626025022513,0.03883604577422577,0.045394625670613795,0.534320669534962,0.11930271212700677,1.9135574,6
2017-10-04,0.0066634486,0.018058917,0.05551377,0.012652661,0.8703261,0.03678506,0.006621669775944724,0.01820851157846842,0.05542931585611895,0.012489724568114048,0.8706545633645915,0.03659620825077372,0.81373155,6
2017-10-05,0.0049832887,0.013243715,0.09236701,0.00672247,0.86158955,0.021094011,0.004949491893396128,0.013254898434886846,0.09033381711321452,0.006680107010473314,0.8631096501179024,0.02167208350596292,0.7892791,2
2017-10-06,0.022428796,0.40815398,0.023321314,0.28782988,0.17577153,0.082494535,0.022054265890392104,0.41438380541137065,0.022418127091843338,0.2881472493071412,0.1678928385008531,0.08510375034202657,2.0319626,3
2017-10-08,0.0068326183,0.03615224,0.047050674,0.008517235,0.753881,0.14756629,0.0069478712112860715,0.03771279114512793,0.046418864393458305,0.008436735960270435,0.7465469615071606,0.15393681447091076,1.202988,3
2017-10-09,0.012514886,0.32715046,0.01777791,0.0096357055,0.47853386,0.15438716,0.012048227222902434,0.30318074092032415,0.018979551587549468,0.009546766180604222,0.5082247421169092,0.14801996258043107,1.6993052,3
2017-10-10,0.007484702,0.041543785,0.040310875,0.030312011,0.5814958,0.29885283,0.006980952875674261,0.03722820018834256,0.04191249443580193,0.025350787129245943,0.6266137372478987,0.2619138516889204,1.5587211,3
2017-10-11,0.017633474,0.42489877,0.026688602,0.38576433,0.11276142,0.032253478,0.017255234409956823,0.3781918312990344,0.02839536032134279,0.42913397173648626,0.11709171686809902,0.029931951012548568,1.8118753,2
2017-10-12,0.009982077,0.064778455,0.083479956,0.0092692245,0.8040524,0.02843786,0.010041572976408735,0.06532445473215659,0.08338204594757025,0.009304318388867916,0.8034541073200631,0.028493481893358066,1.0828158,2
