type,channel,date,text,views,reactions_count,post_id,reply_to_post_id,clean_text,emotion,emotion_v2
comment,centralbank_russia,2023-06-19 16:56:25+00:00,"Почему же тогда ФРС таргетирет не только инфляцию, но и безработицу?",0,0,14143,1117.0,"Почему же тогда ФРС таргетирет не только инфляцию, но и безработицу?",Neutral,Neutral
comment,Coin_Post,2025-07-24 15:47:41+00:00,Не собирается что?),0,0,1913688,16192.0,Не собирается что?),Aggression,Aggression
comment,spydell_finance,2022-10-14 19:36:04+00:00,"Вообще занятная вещь, если почитать хроники за 1811 год этого района, нечто подобное было перед крупными землетрясениями, там даже в какой-то момент она вспять потекла",0,0,310756,2056.0,"Вообще занятная вещь, если почитать хроники за 1811 год этого района, нечто подобное было перед крупными землетрясениями, там даже в какой-то момент она вспять потекла",Neutral,Neutral
comment,spydell_finance,2022-09-14 12:42:51+00:00,"О, бабенка-специалист вылезла! Ты сама то поняла, че сказала?😂😂😂",0,2,268656,1868.0,"О, бабенка-специалист вылезла! Ты сама то поняла, че сказала?:смеется_до_слез::смеется_до_слез::смеется_до_слез:",Aggression,Aggression
comment,swaneconomy,2024-10-12 11:23:42+00:00,"Увидим ближайший месяц, что и кому выгодно)",0,0,169207,2789.0,"Увидим ближайший месяц, что и кому выгодно)",Neutral,Uncertainty
comment,swaneconomy,2023-12-08 08:32:03+00:00,"Ну а что разве не так? Я вот не покупаю биткойны, мои знакомые тоже их не покупают, а цена биткойна при этом растёт и обороты криптобирж растут... значит кто-то его покупает...",0,0,35441,1810.0,"Ну а что разве не так? Я вот не покупаю биткойны, мои знакомые тоже их не покупают, а цена биткойна при этом растёт и обороты криптобирж растут... значит кто-то его покупает...",Neutral,Neutral
comment,spydell_finance,2026-03-26 18:16:33+00:00,"Конечно,будем наращивать ВПК,огневую мощь.
Всех кто стонет,что остался без работы трудоустроят в оборонный сектор.",0,12,1170101,9431.0,"Конечно,будем наращивать ВПК,огневую мощь. Всех кто стонет,что остался без работы трудоустроят в оборонный сектор.",Aggression,Aggression
post,bitkogan,2024-02-15 12:32:07+00:00,"📺 Отвечаем на ваши вопросы в прямом эфире!

Друзья, сегодня «Ответы на вопросы» выйдут в экспериментальном формате.

◽️В первой части, как всегда, обсудим последние события на мировых рынках и боль подписчиков. 
◽️А затем к нам присоединится моя команда из Инвест Советника и более подробно ответит на ваши вопросы.

Если вам понравится, мы будем повторять такой гибридный формат раз в месяц. 

⏰ А пока ждём вас в 18:00 (МСК) на канале Bitkogan Talks. 

🔗Подключайтесь и задавайте вопросы!

#видео

@bitkogan",64400,182,23669,,":телевизор: Отвечаем на ваши вопросы в прямом эфире! Друзья, сегодня «Ответы на вопросы» выйдут в экспериментальном формате. :небольшой_белый_квадрат:В первой части, как всегда, обсудим последние события на мировых рынках и боль подписчиков. :небольшой_белый_квадрат:А затем к нам присоединится моя команда из Инвест Советника и более подробно ответит на ваши вопросы. Если вам понравится, мы будем повторять такой гибридный формат раз в месяц. :будильник: А пока ждём вас в 18:00 (МСК) на канале Bitkogan Talks. :гиперссылка:Подключайтесь и задавайте вопросы! #видео",Neutral,Neutral
comment,spydell_finance,2022-12-01 15:25:16+00:00,"Влажные фантазии автора — давно потерял связь с реальностью.
ДКП полностью контролирует рынок труда, спрос и инфляцию!
Экономика в полном порядке и лучше всех сейчас",0,28,352515,2380.0,"Влажные фантазии автора — давно потерял связь с реальностью. ДКП полностью контролирует рынок труда, спрос и инфляцию! Экономика в полном порядке и лучше всех сейчас",Neutral,Disappointment
comment,spydell_finance,2024-08-01 10:54:47+00:00,Вам перегрев экономики знаком термин?,0,0,776178,5834.0,Вам перегрев экономики знаком термин?,Neutral,Neutral
comment,Coin_Post,2024-04-30 19:20:34+00:00,"во как, он уже тогда знал на сколько сядет, и показывал пальцами вымя ))",0,1,1709138,13257.0,"во как, он уже тогда знал на сколько сядет, и показывал пальцами вымя ))",Aggression,Aggression
comment,spydell_finance,2025-12-25 18:10:37+00:00,"Россия не имеет средств для разработки такого ИИ. Стимулов тоже. Монетарный дизайн поддерживает сырьевую структуру экономики, с девальвированным рублем и импортом промышленных продуктов. 

Ввоз импортных комплектующих для ИИ-сектора недоступен даже сейчас, при относительно крепком рубле. 

От «народа». От какого народа? Того, что на улицах или сто в списке Форбс?
Большинство населения, как и всегда, будет работать. С появлением ИИ еще больше, в лучшем случае за ту же ставку.

Неофициальную экономику власть создавать не будет, потому что нужны доходы с налогов. 

Сам по себе не работает ни один сектор.",0,1,1114595,8884.0,"Россия не имеет средств для разработки такого ИИ. Стимулов тоже. Монетарный дизайн поддерживает сырьевую структуру экономики, с девальвированным рублем и импортом промышленных продуктов. Ввоз импортных комплектующих для ИИ-сектора недоступен даже сейчас, при относительно крепком рубле. От «народа». От какого народа? Того, что на улицах или сто в списке Форбс? Большинство населения, как и всегда, будет работать. С появлением ИИ еще больше, в лучшем случае за ту же ставку. Неофициальную экономику власть создавать не будет, потому что нужны доходы с налогов. Сам по себе не работает ни один сектор.",Anxiety,Anxiety
comment,spydell_finance,2024-09-01 09:05:52+00:00,"Забыл правильное название, но пацаном их ел!",0,0,798962,6014.0,"Забыл правильное название, но пацаном их ел!",Neutral,Neutral
comment,spydell_finance,2022-07-03 07:53:46+00:00,Только не при нынешних ценах на газ 🤷‍♂ сейчас 10 панелей за 10к евро окупятся за три года со счетами в 300-400 евро в месяц за газ/электричество,0,0,172618,1324.0,Только не при нынешних ценах на газ :мужчина_пожимает_плечами: сейчас 10 панелей за 10к евро окупятся за три года со счетами в 300-400 евро в месяц за газ/электричество,Anxiety,Anxiety
comment,Coin_Post,2024-05-14 11:20:58+00:00,на винду еще не вышло,0,0,1715647,13352.0,на винду еще не вышло,Neutral,Neutral
comment,spydell_finance,2023-05-30 15:05:28+00:00,"Думаю, ждать очень долго придется....",0,0,496829,3459.0,"Думаю, ждать очень долго придется....",Anxiety,Anxiety
